City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,road town,18.4167,-64.6167,301.2,78,13,10.07,VG,2023-06-13 02:29:44
225,kudahuvadhoo,2.6708,72.8944,301.85,76,75,5.81,MV,2023-06-13 02:36:33
226,chu,43.5983,73.7614,299.02,20,62,1.85,KZ,2023-06-13 02:36:33
227,punta arenas,-53.15,-70.9167,279.21,70,20,6.17,CL,2023-06-13 02:33:56
228,hami,42.8,93.45,306.74,15,76,3.45,CN,2023-06-13 02:35:30
229,freeport,40.6576,-73.5832,293.7,91,100,6.17,US,2023-06-13 02:33:14
230,kingston,17.997,-76.7936,301.68,78,20,6.69,JM,2023-06-13 02:35:03
231,kupang,-10.1667,123.5833,303.47,51,20,9.26,ID,2023-06-13 02:33:51
232,yesilyurt,38.2972,38.2497,287.12,60,0,0.27,TR,2023-06-13 02:36:34
233,juan griego,11.0817,-63.9655,300.22,94,52,4.63,VE,2023-06-13 02:36:34
234,brokopondo,4.75,-55.1667,298.34,88,100,3.07,SR,2023-06-13 02:29:52
235,noumea,-22.2763,166.4572,299.14,99,3,6.49,NC,2023-06-13 02:30:00
236,zouerate,22.7187,-12.4521,298.63,41,0,6.38,MR,2023-06-13 02:34:26
237,kill devil hills,36.0307,-75.676,295.16,92,40,6.69,US,2023-06-13 02:29:57
238,teluknaga,-6.0989,106.6381,305.96,59,20,4.12,ID,2023-06-13 02:36:34
239,hatillo,18.4863,-66.8254,301.54,90,5,2.68,PR,2023-06-13 02:36:34
240,sisimiut,66.9395,-53.6735,273.21,88,31,3.26,GL,2023-06-13 02:34:30
241,chachoengsao,13.6167,101.4167,305.7,75,99,4.65,TH,2023-06-13 02:36:34
242,uturoa,-16.7333,-151.4333,300.34,73,21,7.05,PF,2023-06-13 02:34:05
243,boju,7.3783,7.9112,295.64,95,98,1.47,NG,2023-06-13 02:36:35
244,tahe,52.3333,124.7333,299.4,40,100,4.77,CN,2023-06-13 02:36:35
245,tamiahua,21.2667,-97.45,300.37,93,6,3.43,MX,2023-06-13 02:36:35
246,lihue,21.9789,-159.3672,300.73,74,20,6.69,US,2023-06-13 02:30:49
247,ketchikan,55.3422,-131.6461,290.41,55,0,4.12,US,2023-06-13 02:34:48
248,vilyuchinsk,52.9306,158.4028,297.3,47,0,1.42,RU,2023-06-13 02:34:14
249,cherlak,54.155,74.8055,287.47,53,100,3.63,RU,2023-06-13 02:36:35
250,ad dujayl,33.8467,44.2344,304.15,24,3,2.31,IQ,2023-06-13 02:36:35
251,aldinga beach,-35.2793,138.4604,288.96,71,38,11.06,AU,2023-06-13 02:36:31
252,lompoc,34.6391,-120.4579,291.49,83,0,3.09,US,2023-06-13 02:33:59
253,ilulissat,69.2167,-51.1,275.16,75,75,0.0,GL,2023-06-13 02:33:51
254,gadzhiyevo,69.2551,33.3362,282.75,65,98,6.94,RU,2023-06-13 02:35:28
